avg_count_5s,avg_count_10s,avg_count_30s,tot_dist,avg_vel,paste_count,IP_country_code,risk
3.49,7.64,11.31,5183.34,1.71,0,AT,low
4.46,5.57,11.75,5567.18,1.31,0,DE,low
3.87,5.54,10.99,3891.21,1.86,0,IR,low
3.07,6.38,14.58,4221.04,1.9,0,JP,low
3.77,5.31,8.72,5698.23,1.33,0,CA,low
4.44,6.38,12.89,5144.01,1.03,0,US,low
3.34,3.54,10.76,3641.85,1.63,0,CA,low
4.88,5.34,8.44,3694.84,1.83,0,IR,low
3.22,3.89,9.18,4653.66,1.68,0,US,low
3.99,3.39,14.62,4009.81,1.47,0,IN,low
3.58,3.38,8.95,4018.35,1.68,0,NO,low
4.13,4.56,13.36,3758.39,1.8,0,JP,low
3.94,3.83,12.82,3423.07,1.86,0,IR,low
4.99,3.27,12.19,2579.42,1.31,0,IN,low
4.28,6.59,14.48,2238.1,1.51,0,NO,low
3.62,4.11,13.66,2029.84,1.73,0,CL,low
4.25,6.68,10.68,5551.25,1.6,0,CA,low
4.78,5.6,10.61,5427.76,1.85,0,UK,low
3.14,5.18,12.44,5480.27,1.67,0,UK,low
4.02,4.53,10.35,2596.41,1.98,0,IN,low
4.53,4.95,12.34,5726.61,1.58,0,JP,low
3.82,4.87,11.15,4099.3,1.09,0,US,low
3.52,4.54,9.67,4196.21,1.39,0,DE,low
3.64,3.05,8.61,2838.56,1.21,0,AT,low
4.39,3.56,8.77,4381.62,1.8,0,IR,low
3.53,6.13,12.87,4157.05,1.74,0,NO,low
4.16,4.59,9.95,4239.75,1.22,0,US,low
3.22,6.78,14.5,2910.68,1.62,0,IR,low
4.09,4.96,10.12,4483.19,1.2,0,JP,low
4.06,7.08,11.61,4103.7,1.09,0,IR,low
3.15,7.54,13.1,5913.32,1.59,0,AT,low
3.92,3.32,10.79,2028.8,1.84,0,IN,low
4.05,0,0,5510.7,1.93,0,IN,low
4.88,5.87,9.97,5399.32,1.09,0,UK,low
4.37,7.33,11.88,2579.43,1.91,0,NO,low
4.9,6.6,9.27,3299.76,1.58,0,DE,low
3.86,4.88,0,4414.42,1.59,0,CA,low
3.23,7.74,14.89,3639.6,1.66,0,JP,low
4.78,3.92,9.95,5796.4,1.01,0,IN,low
3.12,4.69,9.33,5965.09,1.2,0,NO,low
4.65,4.95,9.43,4964.78,1.07,0,IN,low
3.29,5.92,9.69,4000.82,1.06,0,DE,low
4.08,5.05,8.25,4844.87,1.41,0,CA,low
3.56,7.43,11.49,4162.65,1.69,0,CA,low
3.66,6.38,13.83,4388.76,1.55,0,CA,low
4.23,3.99,8.3,4808.43,1.63,0,CA,low
4.93,3.5,9.42,2818.55,1.83,0,JP,low
3.04,5.88,11.93,5889,1.33,0,CL,low
3.89,3.6,13.73,5475.14,1.69,0,DE,low
3.52,5.43,0,3268.57,1.19,0,IR,low
3.14,5.8,14.34,5837.01,1.43,0,AT,low
5,6.17,14.27,5605.46,1.56,0,AT,low
3.25,3.03,12.74,3788.71,1.12,0,JP,low
3.66,4.72,13.09,2810.56,1.9,0,IR,low
4.91,7.65,0,4339.93,1.36,0,AT,low
4.09,5,12.95,5210.49,1.26,0,AT,low
4.1,3.62,8.5,5182.69,1.32,0,US,low
4.74,5.74,0,4677.74,1.63,0,CL,low
4.88,7.62,10.72,5365.6,1.43,0,NO,low
3.26,6.95,10.49,3172.12,1.43,0,CA,low
4.24,6.83,10.1,3546.2,1.57,0,CA,low
4.41,3.21,8.28,3864.3,1.72,0,UK,low
4.58,5.66,14.89,4288.96,1.06,0,US,low
3.65,7.64,14.18,5037.07,1.46,0,CA,low
3.79,3.4,10.19,2291.72,1.81,0,NO,low
4.34,4.62,14.94,4814.19,1.69,0,NO,low
3.92,7.19,8.8,4852.25,1.22,0,JP,low
4.94,7.47,10.42,2440.71,1.53,0,UK,low
4.35,0,0,0,0,0,IR,low
4.89,4.67,8.41,4171.51,1.61,0,AT,low
4.48,3.8,14.91,4189.61,1.53,0,IR,low
3.79,6.43,12.61,5933.86,1.36,0,NO,low
4.15,5.2,11.87,5799.77,1.71,0,CL,low
3.61,4.45,13.51,4075.04,1.06,0,UK,low
0,0,0,4069.32,1.34,0,JP,low
3.21,4.78,10.07,2423.85,1.36,0,CA,low
4.76,4.73,11.44,2332.27,1.09,0,IN,low
4.22,4.34,8.45,4146.98,1.38,0,IN,low
4.61,4.67,12.06,5308.34,1.48,0,UK,low
3.29,7.29,0,2885.49,1.51,0,NO,low
3.77,5.15,12.32,3462.52,1.2,0,AT,low
4.12,7.82,14.28,2729.24,1.97,0,IR,low
3.1,5.38,8.8,3996.4,1.64,0,DE,low
3.57,4.95,14.75,4303.86,1.98,0,US,low
3.14,7.36,13.6,3010.58,1.42,0,DE,low
4.84,7.04,10.05,2403.24,1.8,0,DE,low
4.51,4.76,11.39,5683.44,1.05,0,UK,low
3.72,3.45,11.25,4216.46,1.11,0,DE,low
3.44,6.71,10.37,5399.5,1.18,0,IN,low
3.93,7.8,13.68,3042.14,1.59,0,US,low
4.12,5.67,9.1,3962.5,1.76,0,CA,low
3.46,5.24,14.99,3691.98,1.97,0,IR,low
3.23,4.33,8.31,3747.52,1.8,0,CL,low
4.02,5.78,14.06,5801.1,1.72,0,NO,low
4.16,6.07,12.29,4649.43,1.79,0,DE,low
4.48,4.07,13.99,4469.16,1.41,0,AT,low
4.9,7.53,10.46,2711.54,1.25,0,US,low
3.43,5.24,8.88,4974.47,1.04,0,JP,low
3.27,6.69,8.78,5641.11,1.13,0,DE,low
4.71,4.69,12.23,3890.79,1.05,0,US,low
4.35,7.84,0,3769.21,1.07,0,CL,low
3.08,6.13,13.98,3488.65,1.48,0,CL,low
4.94,5.11,13.9,4037.94,1.26,0,DE,low
4.58,5.74,0,5227.63,1.73,0,UK,low
3.76,5.46,11.4,4480.22,1.67,0,US,low
3.64,6.99,14.56,4574.9,1.66,0,UK,low
3.6,4.13,10.04,2484.64,1.9,0,IR,low
3.09,6.32,11.98,3008.08,1.93,0,IR,low
3.26,6.55,10.03,4066.86,1.23,0,JP,low
4.24,3.29,14.18,3025.35,1.2,0,DE,low
3.81,7.27,11.42,2755.51,1.53,0,UK,low
4.65,3.49,11.39,4719.77,1.88,0,JP,low
4.34,5.4,11.32,3813.93,1.87,0,CL,low
4.55,7.3,12.68,5730.8,1.06,0,IN,low
4.65,5.12,10.72,2480.85,1.62,0,DE,low
3.85,4.23,13.73,3423.76,1.84,0,NO,low
3.22,6.16,11.27,3173.8,1.58,0,US,low
3.74,7.44,8.97,0,0,0,IR,low
4.81,5.34,0,2414.91,1.25,0,CA,low
3.72,4.83,9.32,5019.26,1.72,0,CL,low
4.09,7.27,8.26,2198.1,1.74,0,AT,low
3.27,6.51,8.71,4554.03,1.71,0,CA,low
3.29,4.72,10.88,4612.27,1.47,0,IR,low
3.88,3.52,13.33,4189.28,1.66,0,JP,low
4.99,4.15,0,4986.82,1.09,0,US,low
4.42,6.3,8.7,3405.1,1.17,0,IN,low
3.9,6.42,14.09,5666.71,1.82,0,IR,low
4.66,3.17,11,4412.67,1.25,0,JP,low
4.29,5.33,11.48,5216.29,1.56,0,JP,low
3.39,3.67,10.91,5338.99,1.94,0,NO,low
4.23,3.75,9.64,0,0,0,DE,low
3.79,3.39,11.49,2074.09,1.95,0,CL,low
4.48,5.65,8.5,3896.16,1.66,0,DE,low
4.91,6.19,12.51,4680.14,1.6,0,IN,low
4.18,5.9,14.41,3431.93,1.12,0,IN,low
3.29,7.34,14.11,3707.99,1.1,0,DE,low
3.3,0,0,5694.36,1.27,0,AT,low
3.22,4.35,10.17,3610.01,1.53,0,DE,low
3.15,6.95,14.64,5459.46,1.8,0,DE,low
4.48,6.71,9.54,4109.64,1.3,0,DE,low
4.51,5.78,11.87,4919.39,1.61,0,AT,low
4.74,7.42,13.22,4716.68,1.77,0,CA,low
3.42,6.93,13.15,3544.83,1.09,0,UK,low
4.1,3.53,8.34,5836.21,1.3,0,CA,low
3.41,6.9,11.02,2905.86,1.84,0,CL,low
3.85,7.65,14.68,4363.67,1.06,0,CL,low
4.07,3.75,8.08,3376.99,1.14,0,DE,low
4.9,3.86,11.64,3851.85,1.21,0,NO,low
3.28,7.04,14.36,4830.45,1.82,0,IN,low
3.41,6.62,12.94,3533.98,1.05,0,CL,low
4.11,6.08,10.29,2405.64,1.27,0,NO,low
4.41,5.23,12.87,4103.24,1.62,0,NO,low
3.18,4.35,8.1,2688.87,1.43,0,IN,low
3.4,3.35,12.45,3937.7,1.68,0,AT,low
3.1,6.45,9.98,3209.61,1,0,DE,low
4,7.32,14.73,4879.77,1.05,0,DE,low
4.81,6.42,9.61,4262.89,1.84,0,AT,low
3.25,4.95,14.42,3285.96,1.15,0,IN,low
4.06,6.25,13.85,5709.22,1.13,0,DE,low
4.18,5.03,8.46,5178,1.94,0,US,low
4.88,4.36,12.53,2639.15,1.59,0,US,low
4.2,0,0,5054.66,1.15,0,JP,low
4.55,5.27,12.67,3612.43,1.87,0,IN,low
3.17,5.3,8.73,5278.61,1.46,0,AT,low
4.28,4.21,9.75,3365.82,1.78,0,JP,low
3.12,5.85,10.32,3400.53,1.48,0,IN,low
4.35,7.75,10.34,3270.53,1.99,0,AT,low
3.97,6.45,10.28,2979.15,1.67,0,IN,low
3.94,5.3,0,3173.27,1.29,0,CL,low
4.92,7.04,8.66,3999.51,1.17,0,US,low
3.8,3.31,10.52,4163.86,1.97,0,US,low
4.61,3.67,11.33,3792.83,1.81,0,UK,low
4.01,7.46,14.2,4058.81,1.09,0,DE,low
3.86,6.26,11.38,4204.1,1.85,0,UK,low
3.48,7.9,14.84,5321.96,1.6,0,CL,low
3.19,7.34,14.49,4307.81,1.75,0,AT,low
3.41,4.67,10.98,5060.6,1.9,0,CL,low
3.57,3.17,8.23,3771.47,1.68,0,AT,low
4.77,5.5,13.53,3905.06,1.25,0,US,low
3.59,4.43,9.47,3397.45,1.35,0,JP,low
4.43,6.44,12.25,5615.52,1.72,0,JP,low
4.16,5.32,0,2831.34,1.14,0,IN,low
3.29,4.6,12.02,4506.73,1.29,0,NO,low
3.06,7.97,12.95,4868.08,1.14,0,CL,low
4.36,4.39,14.96,5098.73,1.97,0,IR,low
4.57,4.08,0,5605.73,1.41,0,CL,low
3.17,6.36,0,5843.35,1.01,0,IN,low
4.14,5.52,12.18,3646.51,1.19,0,US,low
4.86,6.85,0,2745.35,1.03,0,IR,low
3.95,7.83,11.61,4148.16,1.94,0,UK,low
3.7,6.37,13.26,3016.32,1.5,0,IR,low
3.95,3.61,13.57,2762.33,1.08,0,UK,low
4.14,4.04,9.79,4989.72,1.58,0,CL,low
4.68,5.93,9.49,5252.7,1.3,0,CA,low
4.91,6.56,8.33,3073.59,1.29,0,JP,low
4.13,3.63,13.44,4919.53,1.3,0,JP,low
4.1,3.06,10.75,5464.48,1.6,0,US,low
4.82,3.69,10.1,2600.31,1.09,0,IN,low
3.72,5.27,0,4163.27,1.23,0,DE,low
4.04,7.45,14.88,2457.26,1.36,0,UK,low
4.8,5.43,10.27,2805.54,1.85,0,AT,low
3.88,5.8,9.23,5812.17,1.65,0,AT,low
3.43,7.77,14.06,5113.37,1.16,0,NO,low
3.2,3.71,12.95,4171.62,1.5,0,CL,low
3.44,3.47,8.31,2111.31,1.52,0,AT,low
3.88,3.53,14.1,5854.23,1.86,0,UK,low
4.31,4.63,10.61,2276.92,1.9,0,IN,low
4.3,7.98,12.36,4769.12,1.1,0,US,low
4.32,4.3,9.25,3992.96,1.49,0,CL,low
4.16,6.13,14.73,2689.65,1.18,0,IN,low
4.72,4,10.13,4132.21,1.67,0,JP,low
3.28,3.57,10.02,4310.55,1.81,0,AT,low
4.47,6.16,8.54,4814.64,1.72,0,CA,low
3.55,3.54,11.27,5217.49,1.07,0,UK,low
3.44,3.89,8.79,5687.12,1.05,0,DE,low
3.83,6.09,8.59,3881.5,1.08,0,IR,low
4.33,5.05,12.87,2773.43,1.54,0,IN,low
3.9,4.08,14.59,4849.81,1.56,0,US,low
4.84,7.12,14.31,2182.82,1.89,0,IR,low
3.91,3.25,11.44,4376.49,1.03,0,IR,low
3.81,5.48,12.17,5067.05,1.45,0,DE,low
4.42,4.2,8.89,5057.42,1.05,0,CL,low
3.76,6.21,14.99,5388.99,1.27,0,IN,low
4.84,5.11,12.49,3076.76,1.3,0,JP,low
4.11,5.22,0,2532.26,1.29,0,DE,low
3.48,5.78,8.03,5105.4,1.95,0,UK,low
4.6,5.74,11.3,4858.12,1.52,0,IR,low
3.38,4.88,14.34,4203.33,1.62,0,IN,low
3.9,5.99,14.07,5123.96,1.15,0,AT,low
4.99,7.88,8.72,3624.76,1.3,0,UK,low
4.97,5.52,14.97,5626.25,1.3,0,UK,low
4.59,6.02,8.43,3149.04,1.66,0,JP,low
4.63,6.53,0,5876.19,1.01,0,CA,low
4.43,5.51,11.62,5216.03,1.06,0,DE,low
4.81,4.24,9.9,2451.07,1.39,0,IR,low
3.03,5.84,14.48,4567.41,1.28,0,JP,low
4.37,5.08,11.73,3481.55,1.82,0,AT,low
3.87,3.74,9.9,3376.67,1.3,0,JP,low
3.14,6.89,13,5064.5,1.83,0,DE,low
4.67,7.99,8.06,2304.18,1.45,0,IN,low
3.38,6.44,11.51,2471.71,1.45,0,UK,low
3.92,4.77,11.96,3413.37,1.25,0,JP,low
4.19,7.8,14,5172.99,1.68,0,IN,low
4.75,5.1,0,4503.95,1.21,0,CA,low
3.24,3.39,14.2,2492.28,1.73,0,CL,low
4.68,5.77,9.56,4880.02,1.62,0,IR,low
3.9,6.16,12.44,2061.54,1.96,0,NO,low
4.27,6.07,12.85,2920.44,1.67,0,US,low
0,0,0,4566.28,1.59,0,IN,low
3.35,5.36,11.5,5931.96,1.89,0,AT,low
3.31,6.15,10.92,4532.01,1.55,0,JP,low
3.98,4.33,12.75,5098.24,1.1,0,NO,low
4.14,3.92,10.28,4784.41,1.61,0,JP,low
3.89,6.34,12.14,5812.91,1.16,0,US,low
4.83,3.65,11.17,5023.09,1.58,0,US,low
3.15,6.14,0,2856.05,1.79,0,CL,low
4.16,3.78,12.92,5621.76,1.99,0,UK,low
4.85,3.64,8.15,2867.32,1.21,0,AT,low
3.08,4.42,14.75,4061.08,1.23,0,NO,low
4.53,7.7,12.21,5919.17,1.47,0,CL,low
3.51,0,0,0,0,0,IR,low
4.86,5.3,11,5499.23,1.74,0,CA,low
4.56,3.81,12.86,2172.5,1.82,0,IR,low
4.44,6.97,13.76,3006.34,1.6,0,DE,low
3.64,3.77,8.41,4518.32,1.46,0,NO,low
4.41,5.94,10.82,5872.82,1.34,0,NO,low
3.29,0,0,2526.56,1.27,0,JP,low
3.08,7.54,10.03,4313.35,1.9,0,NO,low
4.57,5.52,9.98,0,0,0,US,low
3.16,5.94,10.64,5192.92,1.36,0,IR,low
4.73,7.21,0,4852.58,1.45,0,IR,low
4.84,3.8,13.54,3883.78,1.29,0,IR,low
3.27,3.69,10.07,2509,1.2,0,CL,low
4.98,5.33,8.52,5178.91,1.12,0,UK,low
3.35,3.2,11.8,3003.1,1.86,0,CA,low
3.04,3.14,13.43,3348.52,1.56,0,AT,low
4.93,6.97,10.08,4987.8,1.39,0,AT,low
3.81,5.57,14.67,3594.92,1.94,0,AT,low
4.05,4.56,8.04,2669.43,1.31,0,IN,low
4.7,4.39,10.65,4319.92,1.3,0,CL,low
3.72,3.46,8.75,2276.38,1.74,0,JP,low
3.04,3.65,0,3936.48,1.29,0,DE,low
4.1,6.16,0,2762.65,1.37,0,JP,low
3.86,5.38,0,2937.63,1.82,0,AT,low
0,0,0,0,0,0,DE,low
4.09,3.7,14.5,4390.24,1.71,0,AT,low
4.25,3.01,13.36,2825.06,1.63,0,DE,low
4.34,3.41,12.51,2807.34,1.77,0,CA,low
4.48,0,0,4223.91,1.6,0,US,low
3.77,4.31,8.4,3262.89,1.9,0,AT,low
3.19,7.54,13.96,5589.79,1.91,0,US,low
3.89,4.77,13.89,4378.92,1.62,0,IR,low
4.51,6.44,9.39,2519.87,1.09,0,US,low
3.4,5.12,14.78,5775.61,1.79,0,US,low
3.04,7.34,13.8,3269.79,1.7,0,JP,low
4.01,7.14,14.64,5731.75,1.06,0,US,low
4.81,5.08,11.56,4534.42,1.7,0,NO,low
4.76,3.59,11.06,3994.87,1.56,0,DE,low
4.34,4.3,8.8,4582.68,1.43,0,IN,low
3.82,4.87,13.11,2994.55,1.58,0,DE,low
3.5,7.92,12.8,5662.75,1.57,0,CA,low
4.31,6.79,10.46,2789.85,1.22,0,DE,low
3.14,6.42,11.28,5973.49,1.03,0,JP,low
3.99,6.74,11.42,5209.43,1.54,0,JP,low
3.51,7.74,9.9,2147.19,1.46,0,CA,low
4.2,5.81,11.3,2810.49,1.26,0,DE,low
3.92,5.85,11.29,4003.67,1.53,0,UK,low
4.35,7.55,12.57,2452.56,1.82,0,CA,low
4.26,7.88,11.48,3006.26,1.68,0,DE,low
3.65,5.59,9.02,2169.45,1.38,0,UK,low
3.91,0,0,5539.31,1.18,0,UK,low
4.98,4.24,8.47,3900.67,1.55,0,US,low
3.53,7.47,0,2696.16,1.11,0,IN,low
3.51,3.34,14.68,5927.81,1.64,0,CL,low
3.74,6.01,14.42,2267.26,1.55,0,US,low
3.68,7.37,8.6,5454.45,1.67,0,US,low
4.58,0,0,5956.47,1.25,0,CL,low
4.49,4.93,0,5751.21,1.57,0,CL,low
4.37,7.6,13.12,5782.34,1.01,0,NO,low
4.46,5.6,8.25,5405.22,1.96,0,JP,low
3.08,6.49,12.37,5038.37,1.3,0,IR,low
3.95,4.05,14.65,3278.02,1.18,0,CL,low
4.08,3.83,10.38,5754.32,1.41,0,IR,low
4.8,5.86,14.14,2982.21,1.86,0,CL,low
3.88,5.08,11.7,2941.83,1.85,0,JP,low
4.27,4.68,11.01,3614.12,1.19,0,CL,low
3.57,6.43,14.12,5155.82,1.8,0,CA,low
3.31,7.63,13.15,2495.65,1.25,0,US,low
3.28,5.45,0,5887.84,1.5,0,IN,low
3.03,4.96,12.16,5195.9,1.56,0,DE,low
3.79,4.31,8.79,2253.85,1.67,0,IR,low
3.36,6.98,0,5829.76,1.22,0,CA,low
4.5,7.51,13.07,2384.26,1.1,0,NO,low
3.46,6.19,9.05,4464.2,1.43,0,UK,low
4.96,4.46,8.63,2774.95,1.32,0,IR,low
4.75,6.8,9.68,0,0,0,JP,low
0,0,0,0,0,0,IN,low
3.45,5.89,11.26,3407.68,1.97,0,IR,low
3.55,4.92,9.17,4893.61,1.63,0,CA,low
4.9,6.59,10.2,5152.07,1.97,0,AT,low
3.8,7.85,10.03,3428.85,1.84,0,AT,low
4.8,5.44,11.93,4359.44,1.32,0,AT,low
3.61,7.91,12.22,3764.56,2,0,CA,low
3.22,5.08,12.92,5575.33,1.97,0,IR,low
4.67,4.76,13.11,3274.14,1.93,0,CL,low
4.71,6.03,9.46,5740.35,1.36,0,NO,low
4.06,7.43,11.48,5601.03,1.87,0,CA,low
3.41,4.56,9.91,0,0,0,UK,low
4.77,4.64,0,5317.16,1.84,0,IR,low
3.17,3.05,13.47,2341.33,1.92,0,IN,low
3.81,5.31,13.87,4082.77,1.21,0,AT,low
3.42,5.99,12.72,3447.39,1.29,0,DE,low
4,7.43,14.17,5964.92,1.79,0,IR,low
3.47,4.06,12.86,5565.52,1.27,0,IN,low
4.07,6.88,10.84,2170.56,1.96,0,NO,low
4.05,4.55,9.23,5488.21,1.23,0,NO,low
4.58,6.17,11.93,4800.08,1.03,0,CL,low
3.58,7.01,14.14,3690.42,1.58,0,AT,low
4.28,3.56,10.42,5001.4,1.9,0,CA,low
4.28,4.34,14.77,3914.11,1.57,0,AT,low
4.02,5.98,12.1,5091.75,1.35,0,NO,low
4,6.26,8.29,5910.34,1.49,0,UK,low
4.56,6.93,8.54,2976.27,1.87,0,NO,low
3.6,3.59,8.32,4891.58,1.4,0,US,low
3.42,5.85,11.29,3851.45,1.63,0,AT,low
3.55,5.92,10.52,4240.64,1.3,0,IN,low
3.01,0,0,5431.27,1.63,0,DE,low
3.94,3.53,0,4702.58,1.89,0,JP,low
3.44,5.29,9.15,4376.44,1.08,0,JP,low
4.94,3.99,8.74,4612.62,1.65,0,UK,low
4.47,3.59,8.02,0,0,0,US,low
3.35,4.65,13.27,3044.05,1.39,0,CL,low
3.05,7.14,14.7,2418.79,1.16,0,CA,low
3.28,6.97,14.55,2782.26,1.56,0,CA,low
3.7,7.81,12.47,2394.51,1.48,0,IN,low
3.22,4.15,8,5481.39,1.03,0,CL,low
4.93,4.61,12.99,5801.11,1.07,0,US,low
4.22,4.77,14.55,5609.22,1.23,0,IR,low
3.42,4.32,10.46,4458.15,1.61,0,US,low
3.51,5.33,10.47,4924.75,1.37,0,IR,low
4.28,6.6,0,2924.37,1.41,0,DE,low
3.21,7.57,0,5054.72,1.08,0,CL,low
3.02,3.13,8.74,2078.88,1.77,0,DE,low
4.66,3.3,13.34,2873.01,1.11,0,NO,low
3.55,3.07,14.64,5744.8,1.34,0,CL,low
4.36,6.31,14.78,2602.62,1.02,0,IR,low
4.09,4.17,8.36,3285.29,1.63,0,NO,low
4.91,7.19,9.22,2936.46,1.94,0,IN,low
4.15,6.87,9.04,3033.4,1.61,0,CA,low
4.13,0,0,4236.44,1.83,0,CL,low
4.53,6.44,12.1,2822.87,1.19,0,IR,low
4.5,7.89,13.58,2350.81,1.64,0,DE,low
4.38,6.83,8.57,4823.62,1.75,0,DE,low
3.29,5.21,12.39,2150.14,1.84,0,NO,low
4.65,4.24,13.89,2264.29,1.28,0,IN,low
3.54,7.85,9.32,4848.16,1.8,0,IN,low
4.47,4.91,10.72,3506.58,1.32,0,CA,low
3.01,7.79,0,5287.15,1.49,0,CL,low
3.03,7.92,11.57,5335.02,1.04,0,JP,low
4.02,7.56,12.06,2962.8,1.22,0,CL,low
3.49,5.15,14.22,3193.61,1.14,0,AT,low
4.29,3.55,12.03,5395.21,1.1,0,JP,low
4.45,3.43,10.77,5423.5,1.01,0,NO,low
3.03,4.37,11.69,2716.92,1.63,0,UK,low
4.31,7.35,13.09,3264.57,1.2,0,AT,low
4.9,7.73,13.62,3852.83,1.36,0,DE,low
3.92,6.14,12.32,2344.87,1.04,0,IN,low
4.55,3.04,10.35,2591.43,1.28,0,UK,low
4.85,4.06,14.83,4311.54,1.03,0,IR,low
3.58,4.15,10.28,3531.72,1.34,0,NO,low
4.18,3.22,9.27,4017.59,1.79,0,CL,low
3.5,4.92,11.83,2359.95,1.83,0,US,low
4.17,7.45,11.24,3358.28,1.76,0,NO,low
4.71,0,0,0,0,0,CA,low
3.54,4.77,9.2,4140.09,1.45,0,AT,low
4.11,6.88,8.74,4373.45,1.52,0,IR,low
3.27,4.17,10.43,3006.58,1.52,0,NO,low
3.54,5.24,10.58,2367.48,1.94,0,JP,low
3.13,5.05,0,4316.32,1.78,0,CL,low
4.9,4.56,8.52,5077.75,1.68,0,US,low
3.17,4.51,11.16,5519.66,1.98,0,DE,low
4.56,5.86,11.85,5991.37,1.17,0,AT,low
3.06,4.12,14.9,4067.21,1.34,0,NO,low
3.63,6.16,10.33,5122.13,1.45,0,DE,low
3.89,6.43,10.9,5676,1.26,0,DE,low
4.81,7.67,13.23,3166.19,1.15,0,UK,low
3.44,3.9,13.73,4790.94,1.33,0,DE,low
4.16,5.82,9.47,4181.84,1.16,0,NO,low
3.13,4.21,13.3,4599.67,1.34,0,JP,low
4.41,4.16,14.43,3618.58,1.74,0,IR,low
3.38,3.95,13.88,3219.93,1.63,0,CA,low
3.47,4.91,9.35,2015.64,1.48,0,US,low
4.94,6.34,9.63,5936.09,1.73,0,IR,low
4.32,6.92,9.18,3925.87,1.82,0,CL,low
4.95,5.28,9.39,2083.51,1.49,0,UK,low
3.62,5.02,10.11,5357,1.37,0,DE,low
4.02,6.59,12.85,3330.3,1.8,0,US,low
4.71,4.87,10.5,2899.08,1.63,0,IN,low
4.09,4.03,8.45,3030.52,1.71,0,JP,low
4.94,0,0,5973.01,1.33,0,UK,low
3.37,7.44,8.87,4079.91,1.71,0,AT,low
3.31,6.16,10.64,4596.18,1.18,0,US,low
3.62,5,12.42,5250.6,1.6,0,UK,low
4.36,4.3,0,5746.59,1.66,0,UK,low
3.41,3.05,13.65,3742.09,1.42,0,NO,low
3.94,3.54,10.92,5035.16,1.82,0,US,low
4.54,3.62,14.15,3879.21,1.27,0,CL,low
3.15,3.09,9,5857.62,1.32,0,UK,low
3.51,5.07,12.85,5046.74,1.35,0,CL,low
3.67,4.59,11.82,3911.12,1.9,0,AT,low
4.91,3.01,11.32,4531.03,1.03,0,UK,low
4.64,7.97,14.11,2216.78,1.45,0,CL,low
3.44,4,13.63,2066.06,1.13,0,DE,low
3.85,4.12,11.52,5876.42,1.92,0,NO,low
